Voldsforbrydelser i alt;Hele landet;5702;7008;6969;6950;6302;6899;6759;7500;6220;6111;7025;6354;5696;6540;6801;6594;6484;8845;7676;6883
Voldsforbrydelser i alt;Region Hovedstaden;1922;2427;2309;2366;2192;2444;2209;2500;2020;1936;2403;2106;2053;2201;2346;2264;2144;3288;2638;2370
Voldsforbrydelser i alt;København;1025;1177;1125;1059;943;1183;1055;1145;927;825;1038;878;900;996;1089;1022;991;1332;1287;1151
Voldsforbrydelser i alt;Frederiksberg;62;77;74;68;69;74;82;91;70;48;98;106;109;80;93;90;108;100;96;76
Voldsforbrydelser i alt;Dragør;7;8;4;6;8;6;8;12;7;6;11;10;3;10;6;7;4;7;9;10
Voldsforbrydelser i alt;Tårnby;41;58;52;46;45;44;35;47;41;33;31;36;38;40;49;52;45;59;66;49
Voldsforbrydelser i alt;Albertslund;44;56;42;45;44;50;41;44;40;51;37;53;35;33;31;30;45;47;28;36
Voldsforbrydelser i alt;Ballerup;51;56;56;50;44;67;63;58;56;55;74;56;48;67;73;40;54;50;40;42
Voldsforbrydelser i alt;Brøndby;42;54;64;136;144;66;56;67;50;39;64;50;88;62;79;147;63;243;59;58
Voldsforbrydelser i alt;Gentofte;38;51;52;61;38;40;39;61;41;68;54;38;50;58;56;47;38;55;85;53
Voldsforbrydelser i alt;Gladsaxe;40;68;63;56;43;54;65;50;51;74;76;79;90;58;61;63;76;476;71;58
Voldsforbrydelser i alt;Glostrup;31;48;42;39;46;33;43;40;39;44;42;43;26;39;37;26;42;35;27;47
Voldsforbrydelser i alt;Herlev;15;36;36;35;43;40;25;35;35;29;29;45;39;24;30;35;20;24;24;27
Voldsforbrydelser i alt;Hvidovre;50;52;66;66;66;79;78;63;68;68;77;69;42;41;51;53;48;67;62;57
Voldsforbrydelser i alt;Høje-Taastrup;58;85;84;84;70;69;61;70;60;62;79;71;54;60;52;74;57;72;92;63
Voldsforbrydelser i alt;Ishøj;19;37;26;39;41;30;35;43;48;24;38;34;22;35;38;36;21;38;25;29
Voldsforbrydelser i alt;Lyngby-Taarbæk;29;50;32;41;29;30;39;46;23;34;45;37;30;43;47;44;35;46;45;46
Voldsforbrydelser i alt;Rødovre;36;40;28;43;34;37;34;55;39;40;41;54;31;44;35;30;36;71;45;48
Voldsforbrydelser i alt;Vallensbæk;14;8;6;11;16;9;6;12;10;15;14;10;8;9;21;9;16;13;7;5
Voldsforbrydelser i alt;Allerød;16;16;16;29;26;26;27;31;18;16;19;20;27;23;26;14;22;22;14;29
Voldsforbrydelser i alt;Egedal;20;27;23;26;30;20;16;29;20;18;28;27;14;24;19;20;23;31;32;42
Voldsforbrydelser i alt;Fredensborg;22;32;31;38;35;40;27;31;30;34;49;41;39;44;42;36;39;39;50;33
Voldsforbrydelser i alt;Frederikssund;38;55;56;59;35;62;50;56;37;47;63;41;57;55;57;40;45;66;57;41
Voldsforbrydelser i alt;Furesø;11;34;24;23;23;38;21;37;42;27;43;16;30;25;32;31;31;27;46;36
Voldsforbrydelser i alt;Gribskov;26;34;36;34;32;34;36;52;26;28;47;39;39;33;32;33;43;57;57;40
Voldsforbrydelser i alt;Halsnæs;27;52;23;24;24;32;29;46;34;34;33;27;20;34;34;30;30;40;44;41
Voldsforbrydelser i alt;Helsingør;42;69;75;84;96;104;75;89;73;69;79;81;57;91;103;87;84;113;88;94
Voldsforbrydelser i alt;Hillerød;43;58;73;62;72;63;55;70;54;58;83;47;67;75;55;47;50;66;67;76
Voldsforbrydelser i alt;Hørsholm;10;24;23;27;23;26;34;26;9;11;26;25;28;29;21;34;21;18;30;27
Voldsforbrydelser i alt;Rudersdal;32;26;30;37;48;31;35;50;24;42;48;48;40;36;19;27;21;33;35;29
Voldsforbrydelser i alt;Bornholm;33;39;47;38;25;57;39;44;48;37;37;25;22;33;58;60;36;40;50;27
Voldsforbrydelser i alt;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Voldsforbrydelser i alt;Region Sjælland;761;953;1051;1055;968;1011;1081;1121;969;959;1083;989;785;916;993;878;972;1260;1150;1005
Voldsforbrydelser i alt;Greve;25;34;35;23;39;30;51;46;37;41;51;34;30;38;40;42;48;34;50;26
Voldsforbrydelser i alt;Køge;47;52;50;51;46;54;53;74;51;51;64;84;45;51;69;69;52;46;85;64
Voldsforbrydelser i alt;Lejre;15;15;30;23;16;20;17;12;14;15;20;21;31;22;18;17;27;16;24;15
Voldsforbrydelser i alt;Roskilde;75;81;98;85;80;82;109;107;82;84;90;96;63;61;94;90;109;129;134;114
Voldsforbrydelser i alt;Solrød;5;5;12;13;10;11;14;12;11;10;13;11;7;9;15;20;14;13;12;15
Voldsforbrydelser i alt;Faxe;20;24;27;36;20;30;33;37;35;28;49;43;21;32;37;24;31;36;27;44
Voldsforbrydelser i alt;Guldborgsund;83;93;116;130;122;110;117;145;89;106;118;107;87;103;114;99;114;108;104;97
Voldsforbrydelser i alt;Holbæk;61;74;73;76;70;80;90;93;84;65;83;97;59;59;73;69;77;112;98;114
Voldsforbrydelser i alt;Kalundborg;40;64;50;51;48;62;65;59;52;41;56;43;56;72;45;32;56;113;80;41
Voldsforbrydelser i alt;Lolland;87;153;129;126;101;85;67;108;87;80;94;73;40;71;67;82;71;120;88;66
Voldsforbrydelser i alt;Næstved;66;66;77;95;104;83;97;85;72;77;75;101;58;88;95;69;93;107;121;97
Voldsforbrydelser i alt;Odsherred;31;41;34;47;29;44;59;42;51;38;52;48;47;37;56;38;50;58;70;55
Voldsforbrydelser i alt;Ringsted;17;21;34;20;29;50;34;23;36;34;37;32;23;38;33;35;24;117;48;28
Voldsforbrydelser i alt;Slagelse;100;115;144;165;157;157;173;164;136;183;160;105;111;118;116;105;118;158;115;126
Voldsforbrydelser i alt;Sorø;23;32;43;42;21;25;25;32;40;30;41;39;31;25;29;32;26;15;15;26
Voldsforbrydelser i alt;Stevns;15;20;23;10;13;12;19;17;21;22;24;15;11;24;26;6;8;26;30;31
Voldsforbrydelser i alt;Vordingborg;51;63;76;62;63;76;58;65;71;54;56;40;65;68;66;49;54;52;49;46
Voldsforbrydelser i alt;Region Syddanmark;1225;1470;1539;1594;1304;1481;1440;1723;1282;1367;1598;1373;1215;1568;1524;1533;1491;1643;1707;1496
Voldsforbrydelser i alt;Assens;16;28;25;43;33;29;18;49;38;39;43;48;33;26;40;34;22;39;39;33
Voldsforbrydelser i alt;Faaborg-Midtfyn;45;46;48;84;50;39;42;42;31;50;51;54;41;47;46;39;50;39;29;41
Voldsforbrydelser i alt;Kerteminde;16;14;34;26;16;23;23;15;26;18;23;13;16;21;17;11;13;18;25;13
Voldsforbrydelser i alt;Langeland;7;15;16;18;14;13;23;14;17;14;4;11;7;19;10;8;21;16;33;33
Voldsforbrydelser i alt;Middelfart;25;45;35;38;24;47;46;34;50;26;219;48;42;34;57;52;51;66;71;50
Voldsforbrydelser i alt;Nordfyns;35;32;42;61;43;59;46;45;41;36;36;34;51;40;58;30;37;22;49;21
Voldsforbrydelser i alt;Nyborg;71;97;57;55;56;57;74;64;44;31;49;54;50;53;41;60;39;38;56;72
Voldsforbrydelser i alt;Odense;223;256;264;301;272;257;246;434;253;237;228;218;195;273;273;248;249;264;330;244
Voldsforbrydelser i alt;Svendborg;67;78;57;70;50;77;52;82;57;61;48;50;52;73;75;65;51;91;76;68
Voldsforbrydelser i alt;Ærø;0;1;5;1;6;0;4;3;0;0;4;2;1;1;6;4;8;2;8;7
Voldsforbrydelser i alt;Billund;25;29;22;18;18;23;33;26;14;10;20;21;22;15;12;31;23;31;29;22
Voldsforbrydelser i alt;Esbjerg;127;143;178;162;134;190;171;194;162;177;152;185;168;191;187;189;185;177;165;180
Voldsforbrydelser i alt;Fanø;5;5;5;0;4;2;7;0;2;3;0;1;0;4;1;3;0;1;2;1
Voldsforbrydelser i alt;Fredericia;55;70;76;94;56;61;52;85;63;63;74;65;61;100;75;92;93;90;78;101
Voldsforbrydelser i alt;Haderslev;48;60;76;59;59;77;46;81;53;73;70;59;55;97;82;76;155;87;75;74
Voldsforbrydelser i alt;Kolding;95;86;122;113;94;135;111;115;104;134;139;104;100;130;114;128;109;173;128;104
Voldsforbrydelser i alt;Sønderborg;56;113;85;67;66;81;75;66;72;81;91;69;49;87;78;99;83;103;101;88
Voldsforbrydelser i alt;Tønder;58;65;72;54;28;49;51;50;42;55;51;46;48;43;57;58;43;53;42;44
Voldsforbrydelser i alt;Varde;45;38;47;59;47;45;48;39;38;19;51;40;25;54;37;33;31;57;55;44
Voldsforbrydelser i alt;Vejen;28;24;45;36;38;28;32;43;23;43;45;36;29;37;46;41;38;32;50;43
Voldsforbrydelser i alt;Vejle;107;150;155;157;128;126;176;165;113;121;130;134;123;169;152;161;138;188;182;155
Voldsforbrydelser i alt;Aabenraa;71;75;73;78;68;63;64;77;39;76;70;81;47;54;60;71;52;56;84;58
Voldsforbrydelser i alt;Region Midtjylland;1212;1447;1284;1316;1295;1306;1387;1468;1306;1176;1258;1212;1126;1227;1311;1245;1149;1421;1294;1296
Voldsforbrydelser i alt;Favrskov;23;31;44;34;43;31;23;64;31;37;32;25;23;57;29;32;39;26;18;49
Voldsforbrydelser i alt;Hedensted;29;35;30;32;32;23;31;33;17;28;26;34;36;29;33;37;38;23;29;36
Voldsforbrydelser i alt;Horsens;81;133;110;117;116;96;117;113;123;102;111;80;95;123;128;123;85;151;115;122
Voldsforbrydelser i alt;Norddjurs;49;55;46;78;44;35;46;42;49;62;76;40;39;33;62;39;44;60;81;70
Voldsforbrydelser i alt;Odder;14;10;21;13;17;10;12;14;11;7;12;15;12;13;3;6;8;16;12;11
Voldsforbrydelser i alt;Randers;96;111;125;113;106;120;135;123;109;90;124;112;85;135;115;115;85;116;87;97
Voldsforbrydelser i alt;Samsø;2;3;5;1;2;2;4;2;1;4;3;2;1;0;0;2;2;2;8;6
Voldsforbrydelser i alt;Silkeborg;59;72;64;73;79;109;96;69;88;57;65;88;55;54;77;60;80;80;54;75
Voldsforbrydelser i alt;Skanderborg;25;33;27;35;37;24;54;37;24;24;28;20;27;30;22;28;36;33;38;30
Voldsforbrydelser i alt;Syddjurs;23;47;19;15;16;20;23;29;24;24;28;29;28;39;23;28;19;26;36;15
Voldsforbrydelser i alt;Aarhus;479;445;432;393;402;393;427;426;407;375;379;372;337;349;375;397;365;432;383;388
Voldsforbrydelser i alt;Herning;104;127;95;110;113;121;102;121;116;83;93;89;122;63;109;97;80;112;94;81
Voldsforbrydelser i alt;Holstebro;46;91;56;58;60;49;62;73;66;58;64;74;44;81;71;59;57;83;76;73
Voldsforbrydelser i alt;Ikast-Brande;42;41;49;43;45;54;60;44;53;46;52;53;55;41;30;36;27;52;31;38
Voldsforbrydelser i alt;Lemvig;5;20;8;14;11;13;24;13;15;11;16;13;12;11;14;7;10;18;12;3
Voldsforbrydelser i alt;Ringkøbing-Skjern;34;31;14;28;27;28;30;37;27;16;32;19;15;24;18;15;24;23;24;20
Voldsforbrydelser i alt;Skive;34;45;38;35;56;44;52;46;38;41;18;33;26;35;55;39;48;50;59;43
Voldsforbrydelser i alt;Struer;14;15;17;22;19;19;11;39;21;21;13;21;14;16;23;34;15;24;25;18
Voldsforbrydelser i alt;Viborg;53;102;84;102;70;115;78;143;86;90;86;93;100;94;124;91;87;94;112;121
Voldsforbrydelser i alt;Region Nordjylland;436;571;542;502;432;545;541;550;493;498;521;459;345;447;482;499;534;1044;583;496
Voldsforbrydelser i alt;Brønderslev;21;29;22;35;24;34;46;36;30;32;38;37;28;18;24;27;23;35;41;52
Voldsforbrydelser i alt;Frederikshavn;53;43;64;41;37;88;58;31;54;46;58;42;23;39;64;46;38;58;83;44
Voldsforbrydelser i alt;Hjørring;54;55;56;43;24;34;41;37;38;42;60;28;31;42;42;62;73;57;61;68
Voldsforbrydelser i alt;Jammerbugt;34;40;44;32;31;36;30;26;13;21;29;34;16;26;20;31;44;30;30;19
Voldsforbrydelser i alt;Læsø;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
Voldsforbrydelser i alt;Mariagerfjord;22;40;41;50;42;41;48;74;73;54;54;56;39;40;39;53;62;44;48;40
Voldsforbrydelser i alt;Morsø;6;15;8;15;17;17;36;18;15;19;17;16;15;16;16;12;19;24;36;22
Voldsforbrydelser i alt;Rebild;15;7;13;14;8;14;14;19;10;13;7;21;5;12;8;11;9;17;11;12
Voldsforbrydelser i alt;Thisted;22;34;36;30;27;42;46;40;34;34;32;21;18;35;43;31;40;39;45;28
Voldsforbrydelser i alt;Vesthimmerlands;31;46;24;28;24;23;36;41;37;46;33;41;32;40;40;21;29;29;28;38
Voldsforbrydelser i alt;Aalborg;178;262;233;214;197;216;185;228;189;191;193;163;138;178;185;205;197;710;200;172
Voldsforbrydelser i alt;Uoplyst kommune;146;140;244;117;111;112;101;138;150;175;162;215;172;181;145;175;194;189;304;220
